id,conversation_id,customer_message,context,intent,escalation_expected,escalation_reason,reference_response,difficulty,annotator_notes
golden_0000,conv_1002633,The movie I was watching just disappeared from my list,,content_unavailable,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Licensing agreements sometimes change and titles can be removed on short notice -- sorry for the inconvenience! We'll pass this along.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0001,conv_1002635,"The password reset email never arrives, checked spam too",,password_reset,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Please try the 'Forgot password' link again; if it keeps expiring, send us a DM with your account email and we'll help directly.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0002,conv_1002637,"Paid for premium but still seeing ads, what's going on","Thanks, that worked!",payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We can look into that -- please DM your account email and the last 4 digits of the card used so we can check the transaction.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0003,conv_1002640,"Login screen just loops back to itself, tried 5 times on the web app",,login_issue,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please try updating to the latest app version and logging in again. If it persists DM us your email so we can check your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0004,conv_1002642,Audio and video are out of sync for the last 2 days,,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0005,conv_1002644,Quality drops to 240p randomly during playback on on my iPad,Ok will try that.,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0006,conv_1002647,The movie I was watching just disappeared from my list,,content_unavailable,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Content availability varies by region due to licensing. We appreciate the feedback and will share it with the content team.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0007,conv_1002649,"Paid for premium but still seeing ads, what's going on",,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We can look into that -- please DM your account email and the last 4 digits of the card used so we can check the transaction.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0008,conv_1002651,"You charged me after I cancelled last week, this isn't right",,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,That shouldn't happen -- please DM your account email and the charge date so our billing team can review and correct it.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0009,conv_1002653,"Can't log in at all today, just spinning forever on my iPad",,login_issue,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please try updating to the latest app version and logging in again. If it persists DM us your email so we can check your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
